name,ring,quadrant,isNew,description
Alamofire,adopt,frameworks and tools,FALSE,
Ambassador,trial,infrastructure,FALSE,"Kubernetes-Native API Gateway built on the Envoy Proxy<br/><b>Area of Usage: </b>API Gateway<br/><b>Rationale behind assessment: </b>Good results (performance, reliability)  so far but needs to be assessed over a longer period of time <br/><b>CIA Relevance: </b>Confidentiality
Availability<br/><b>Project: </b>Ambidexter, E2E<br/><b>Contact person: </b>Marco<br/><b>Knowledge level: </b>0.5<br/><b>Vendors: </b>Senacor<br/><b>Combinable tools/technologies: </b>Istio
Eventstore"
Anchore,assess,infrastructure,FALSE,"Anchore provides a centralized service for inspection, analysis and certification of container images.<br/><b>Area of Usage: </b>Secure Container Deployment<br/><b>Rationale behind assessment: </b>tbd<br/><b>CIA Relevance: </b>Confidentiality
Integrity<br/><b>Project: </b>Ambidexter, E2E<br/><b>Contact person: </b>Marco<br/><b>Knowledge level: </b>0.5<br/><b>Vendors: </b>SSE<br/><b>Combinable tools/technologies: </b>Kexycloak
Java MS
Node MS"
Angular,hold,languages,FALSE,<br/><b>Project: </b>E2E
ANS/GCP,trial,infrastructure,FALSE,
Ansible,assess,infrastructure,FALSE,"Software provisioning, configuration management, and application-deployment too<br/><b>Area of Usage: </b>Configuration-management software<br/><b>Rationale behind assessment: </b>tbd<br/><b>CIA Relevance: </b>Integrity
Availability<br/><b>Project: </b>Ambidexter, E2E<br/><b>Contact person: </b>Marco<br/><b>Knowledge level: </b>0<br/><b>Vendors: </b>Coder Society ?"
Artifactory,adopt,infrastructure,FALSE,"Binaries Repository that allows the integration of further repos, making Artifactory the single point of contact regarding repos<br/><b>Area of Usage: </b>Software Repository<br/><b>Rationale behind assessment: </b>Very positive project experience<br/><b>CIA Relevance: </b>Integrity
Availability<br/><b>Project: </b>Ambidexter, E2E<br/><b>Contact person: </b>Marco<br/><b>Knowledge level: </b>1<br/><b>Vendors: </b>Senacor<br/><b>Combinable tools/technologies: </b>AKS"
Azure,adopt,infrastructure,FALSE,"Azure provides software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools and frameworks, including both Microsoft-specific and third-party software and systems<br/><b>Area of Usage: </b>Cloud computing service<br/><b>Rationale behind assessment: </b>Very positive project experience<br/><b>CIA Relevance: </b>Confidentiality
Integrity
Availability<br/><b>Project: </b>Ambidexter<br/><b>Contact person: </b>Marco<br/><b>Knowledge level: </b>1<br/><b>Vendors: </b>CORE<br/><b>Combinable tools/technologies: </b>SQL
Kubernetes (K8s)
REST
Node.js
Python
Linux OS
etc"
Bitrise,trial,infrastructure,FALSE,"After connecting your repository, Bitrise scans and configures your project for any mobile platform, be it native or hybrid, so you can start shipping your app immediately<br/><b>Area of Usage: </b>Deployment of mobile apps<br/><b>Rationale behind assessment: </b>Good results (performance, reliability)  so far but needs to be assessed over a longer period of time <br/><b>CIA Relevance: </b>Integrity
Availability<br/><b>Project: </b>Ambidexter<br/><b>Contact person: </b>Marco<br/><b>Knowledge level: </b>0<br/><b>Vendors: </b>Freelancers"
Bitbucket,hold,infrastructure,FALSE,"Bitbucket is a web-based version control repository hosting service for source code and development projects that use Git revision control systems<br/><b>Area of Usage: </b>Git version control repository<br/><b>Rationale behind assessment: </b>tbd<br/><b>CIA Relevance: </b>Integrity<br/><b>Project: </b>Ambidexter, E2E<br/><b>Contact person: </b>Marco<br/><b>Knowledge level: </b>0<br/><b>Vendors: </b>tbd"
